record_id,label,method,global_f1,global_sensitivity,global_ppv,global_lag_ms,local_f1,local_sensitivity,local_ppv,local_lag_ms,lag_iqr_ms,hr_mae_bpm
mimic_perform_af_008,AF,current_scipy,0.10666666666666666,0.1070559610705596,0.10628019323671498,336.00000000001273,0.12363636363636364,0.12408759124087591,0.12318840579710146,339.999999999975,69.99999999997897,4.7
mimic_perform_af_008,AF,neurokit_elgendi,0.10046801872074883,0.09793187347931874,0.1031390134529148,279.9999999999727,0.15226209048361936,0.14841849148418493,0.15631005765534914,291.9999999999874,138.00000000002296,4.65
mimic_perform_af_009,AF,current_scipy,0.8323674608285039,0.7859748682610458,0.8845802919708029,199.99999999998863,0.8366602275166345,0.7900283745439806,0.8891423357664233,196.0000000000086,9.999999999992667,13.85
mimic_perform_af_009,AF,neurokit_elgendi,0.7911449016100178,0.7170652614511552,0.8822942643391521,199.9999999998181,0.7960644007155636,0.7215241183623835,0.8877805486284289,195.99999999999795,9.999999999948272,23.1
mimic_perform_af_010,AF,current_scipy,0.9333333333333332,0.9130434782608695,0.9545454545454546,639.9999999999864,0.5398518518518518,0.5281159420289855,0.5521212121212121,526.0000000000105,234.9999999999995,5.05
mimic_perform_af_010,AF,neurokit_elgendi,0.9411064842355741,0.9171014492753623,0.9664019547953574,639.9999999999864,0.5407495538370019,0.5269565217391304,0.5552840562003665,572.0000000000596,158.9999999999634,4.9
mimic_perform_af_011,AF,current_scipy,0.6062124248496995,0.5876639145216125,0.6259699948266942,180.00000000006366,0.5871743486973947,0.569208353569694,0.6063114330056907,184.00000000002592,6.0000000000854925,7.4
mimic_perform_af_011,AF,neurokit_elgendi,0.5652062516013322,0.5356969402622632,0.5981561822125814,183.99999999996908,0.563156546246477,0.5337542496357455,0.5959869848156182,183.99999999996908,8.000000000009777,11.85
mimic_perform_af_012,AF,current_scipy,0.7789837197829305,0.7867463876432487,0.7713727405959941,160.00000000008185,0.782930439072521,0.7907324364723468,0.7752808988764045,164.0000000000441,10.999999999935284,3.6
mimic_perform_af_012,AF,neurokit_elgendi,0.7940573770491803,0.7722969606377678,0.8170795993674222,152.00000000004366,0.7822745901639344,0.7608370702541106,0.804955192409067,159.99999999991132,6.000000000071282,5.5
mimic_perform_af_013,AF,current_scipy,0.4822216454710615,0.4791129448169159,0.48537095088819227,240.0000000000091,0.4656112120425643,0.4626095925734915,0.46865203761755486,248.00000000001887,30.000000000086402,1.55
mimic_perform_af_013,AF,neurokit_elgendi,0.472556194458965,0.4662197008767406,0.4790673025967144,247.9999999999336,0.46471510716152636,0.4584837545126354,0.47111817700052994,247.99999999996203,27.00000000001876,2.9
mimic_perform_af_014,AF,current_scipy,0.4397846415415132,0.43941109852774635,0.4401588201928531,175.99999999998772,0.5355624822896005,0.5351075877689694,0.5360181508791833,264.0000000000384,278.00000000002,1.25
