bootstrap,RF_AC_window_auc,RF_AC_subject_auc,XGB_COSEN_AC_window_auc,XGB_COSEN_AC_subject_auc,delta_window,delta_subject
124,0.9862632864119506,0.99,0.9873903571770565,0.9633333333333333,0.0011270707651058753,-0.026666666666666727
125,0.9394705544383799,0.88,0.9459123814995691,0.8200000000000001,0.006441827061189231,-0.05999999999999994
126,0.9610660720287346,0.9771241830065359,0.9695536741939906,0.9150326797385621,0.008487602165256014,-0.06209150326797386
127,0.9667996950767284,0.9705882352941176,0.9725787327283686,0.9444444444444445,0.005779037651640229,-0.02614379084967311
128,0.9974069899121107,1.0,0.9979932469846662,1.0,0.0005862570725554406,0.0
129,0.9787671167289093,0.99,0.984740735420856,0.9666666666666667,0.0059736186919467915,-0.023333333333333317
130,0.992268265823997,1.0,0.9928713013501868,0.98,0.000603035526189788,-0.020000000000000018
131,0.9931710283462231,1.0,0.9946661897546532,0.9934640522875817,0.0014951614084300902,-0.006535947712418277
132,0.9835111620432243,0.9782608695652175,0.9840823268342848,0.9528985507246377,0.0005711647910604523,-0.025362318840579823
133,0.9883860001915158,0.9933333333333333,0.9912388681413385,0.9866666666666667,0.002852867949822757,-0.006666666666666599
134,0.9951090701530061,1.0,0.9958734906391936,0.9967320261437909,0.0007644204861875226,-0.0032679738562091387
135,0.9702373623968404,0.9795918367346939,0.9738617509629534,0.935374149659864,0.0036243885661129127,-0.04421768707482987
136,0.9988309960582912,1.0,0.9982321426128626,1.0,-0.0005988534454285377,0.0
137,0.9724247890805728,0.9638157894736842,0.9720900300881478,0.9375,-0.0003347589924250771,-0.02631578947368418
138,0.9632500802676716,0.9673202614379085,0.969433037985854,0.934640522875817,0.006182957718182447,-0.0326797385620915
139,0.9861560501368329,0.9901315789473684,0.9872378154341614,0.9572368421052632,0.0010817652973285075,-0.0328947368421052
140,0.9932535550129273,1.0,0.9948401756149927,0.9835526315789473,0.0015866206020653806,-0.016447368421052655
141,0.9843281359548236,0.9895104895104895,0.9873865720605164,0.9685314685314685,0.0030584361056927856,-0.020979020979020935
142,0.970485340332367,0.9545454545454545,0.9738480212930802,0.928030303030303,0.003362680960713238,-0.02651515151515149
143,0.9567289187052775,0.9542483660130718,0.9584013965636048,0.8954248366013072,0.0016724778583272482,-0.05882352941176461
144,0.9990347034276297,1.0,0.999549953507008,1.0,0.0005152500793783599,0.0
145,0.9882857046477413,0.9886363636363635,0.9895204921957291,0.9734848484848484,0.0012347875479877812,-0.015151515151515138
146,0.9904815919473219,0.9967320261437908,0.993430020672446,0.9934640522875816,0.0029484287251241303,-0.0032679738562091387
147,0.9403478774887853,0.9440559440559441,0.9462567022176329,0.8531468531468531,0.005908824728847573,-0.09090909090909094
148,0.975515057933544,0.9899999999999999,0.9792205304988988,0.95,0.003705472565354806,-0.039999999999999925
149,0.9702371229062342,0.9673202614379085,0.9730108168901958,0.9477124183006536,0.002773693983961545,-0.019607843137254943
150,0.9963340909474964,1.0,0.9972331123390656,1.0,0.0008990213915692769,0.0
151,0.9663684153827543,0.9736842105263158,0.9667074267829873,0.9013157894736842,0.00033901140023295806,-0.07236842105263164
152,0.9946699234132031,1.0,0.9956034410316842,1.0,0.000933517618481039,0.0
153,0.9919335684096485,1.0,0.9944317236614074,0.9869281045751633,0.0024981552517588934,-0.013071895424836666
154,0.9888217879318729,0.9967320261437909,0.9906161928527036,0.9738562091503268,0.0017944049208307167,-0.022875816993464082
155,0.9770776867383602,0.9818840579710144,0.9775822373214428,0.9528985507246377,0.0005045505830826302,-0.02898550724637672
156,0.99003067184932,1.0,0.9906022880281098,0.9761904761904762,0.0005716161787897578,-0.023809523809523836
157,0.9830819453128373,0.9934640522875817,0.9860536094165714,0.9640522875816994,0.002971664103734062,-0.02941176470588236
158,0.9970845132077535,0.9999999999999999,0.9981349190063845,1.0,0.0010504057986310267,1.1102230246251565e-16
159,0.9877755087769697,0.9901315789473684,0.9884894407989233,0.9769736842105263,0.0007139320219535783,-0.013157894736842035
160,0.9887243788960249,0.9965034965034966,0.9904325780510785,0.979020979020979,0.0017081991550536024,-0.017482517482517612
161,0.9598628267739155,0.9666666666666668,0.9633467394426889,0.9199999999999999,0.003483912668773348,-0.046666666666666856
162,0.9973511452843132,1.0,0.9986039374094942,0.9999999999999999,0.0012527921251809238,-1.1102230246251565e-16
163,0.9697889190671438,0.965034965034965,0.9686813832533453,0.9020979020979021,-0.0011075358137985214,-0.06293706293706292
164,0.9523391193593208,0.9489795918367346,0.953639362955754,0.8724489795918368,0.0013002435964332149,-0.07653061224489788
165,0.9563680662344417,0.9607843137254902,0.959324240085769,0.9019607843137254,0.002956173851327293,-0.05882352941176483
166,0.976439678140719,0.9836601307189542,0.979978144662059,0.9509803921568627,0.0035384665213400446,-0.0326797385620915
167,0.9816650350020412,0.9901315789473684,0.9842157709520858,0.9638157894736843,0.0025507359500446247,-0.02631578947368407
168,0.9738967490184813,0.9733333333333334,0.9764433113090107,0.9333333333333333,0.0025465622905294083,-0.040000000000000036
169,0.9655280923509578,0.9407894736842105,0.9681468668259274,0.9013157894736842,0.0026187744749696096,-0.03947368421052633
170,0.9614205492596349,0.9489795918367346,0.9648443836023349,0.9013605442176871,0.003423834342699994,-0.04761904761904756
171,0.9903704225192398,0.9967105263157895,0.9920264991154991,0.9901315789473684,0.001656076596259326,-0.006578947368421129
172,0.9901742742173871,0.996376811594203,0.9916909184017585,0.9818840579710145,0.001516644184371363,-0.01449275362318847
173,0.9841291872042214,0.9901315789473684,0.9865652262658946,0.9638157894736842,0.002436039061673223,-0.02631578947368418
174,0.974580051104492,0.9736842105263158,0.9767414554952448,0.9375,0.0021614043907528524,-0.03618421052631582
175,0.9874455837182065,1.0,0.991383293523483,0.986013986013986,0.003937709805276524,-0.013986013986013957
176,0.9482112077810154,0.935374149659864,0.9502439872817843,0.8673469387755103,0.0020327795007688554,-0.0680272108843537
177,0.9775260247357838,0.9671052631578947,0.9810394585645383,0.9210526315789473,0.003513433828754575,-0.046052631578947345
178,0.9807690558268696,0.9766666666666667,0.9842358517667338,0.9533333333333333,0.003466795939864209,-0.023333333333333428
179,0.990918997590418,1.0,0.9929307689752143,0.9863945578231292,0.002011771384796246,-0.013605442176870763
