HR_mean,Mean_NN,SDNN,RMSSD,pNN50,NN50,CV,LF,HF,LF_HF_Ratio,LF_norm,HF_norm,Total_Power,SD1,SD2,SampEn,status
-2.1707292675055534,3.1639231327095976,-1.0466200293318806,-0.8663019983809322,0.23095693495531175,0.2646495518735946,-0.14761034684681257,-0.17578102354625338,-0.09958745669276992,-0.18762286285775898,-0.10069224174135927,2.2214597066913373,-0.1333879269863807,-0.8759235649003625,-1.11292247035419,1.7021068686570942,0
-2.167508218886737,3.155239186956735,-1.0851577496493665,-0.959574818257706,-0.4502429300416917,-0.21721494727641616,-0.17310880145277394,-0.1533148029201524,-0.11189543988275508,0.12489571203589656,0.6608932970258212,1.8272937466625658,-0.13347422524742628,-0.9664462383598666,-1.1110223398250965,1.7021068686570942,0
-2.1472138610419638,3.1009645260013485,-1.053669467528452,-1.007786657806447,-0.17776298404289023,-0.024469147616411856,-0.14958938003895828,-0.17676448783116155,-0.13077486705873204,-0.13070017549506616,0.05592303342847122,2.14040195657647,-0.15509713277601475,-1.0144687817062992,-1.0286444273070605,1.7021068686570942,0
-1.8443138745883758,2.371847080674402,-0.9516623580015169,-1.133534898728623,-1.0387996133991027,-0.6027065465964248,-0.03805949821834607,-0.1614548835087207,-0.16815020448647844,1.038251828048562,2.0204323313857437,1.1236511728519707,-0.17499498326699628,-1.1375127416290545,-0.7989234065896658,1.7021068686570942,0
-2.0654074758300633,2.889597286376638,-0.5300344752442884,-1.0084875912188105,-0.36509294691706623,-0.12084204744641401,0.2239624967208954,-0.13594826780682606,-0.13117343134834866,0.5813135395748056,1.4555547485251805,1.4160090281591895,-0.14022317591155592,-1.019448490048135,-0.2530214818686872,0.9126945080613813,0
-2.140659770383273,3.0835966344956245,-1.0833041555365464,-0.9912680045746304,-0.17776298404289023,-0.024469147616411856,-0.16890795345271536,-0.18049640028983807,-0.1241166415496349,-0.20852082585604972,-0.16054145518471188,2.252435245843581,-0.1519252294801519,-0.9972652622403733,-1.1136674878482393,1.7021068686570942,0
-2.0529187078044613,2.8583350816663438,-1.0810243600361746,-0.9931108983706803,-0.6262195618325842,-0.3135878471064183,-0.1576562608830579,-0.16652108409190433,-0.12167386226565369,-0.00480964394188317,0.37223828375857654,1.9766899400380065,-0.14506724250404007,-0.9990194874767286,-1.067079168417104,1.7021068686570942,0
-2.054589855112017,2.8625033756277087,-0.8526994989513142,-0.8787519192968425,0.02659697545621076,0.16827665204359246,0.0014402967597959013,-0.17846208936343186,-0.12295812794310149,-0.17968100568177256,-0.07828726664029373,2.2098637951743876,-0.1503774339754482,-0.8890911395264007,-0.7634270380824681,-0.5004554863879518,0
-2.2880280525242864,3.493818680603702,-0.952158652894634,-0.8509431030609442,0.3114623735458668,0.2646495518735946,-0.10070773096770382,-0.16982576470816385,-0.11653982001831073,-0.07342842234151258,0.20467003098682648,2.0634165096247123,-0.14277992588160834,-0.8613452698444158,-0.9451984054043779,0.39114289136947233,0
-2.211963433121339,3.2768144274968303,-0.8622907179694445,-0.8626814420649466,-0.17776298404289023,-0.024469147616411856,-0.030601630151493076,-0.10520054792299029,-0.09706446984037545,0.5711706802881997,1.4408328417682263,1.423628493360304,-0.10546910856655917,-0.8732290188351944,-0.8098165810091199,1.199725075217492,0
-2.1953839966423168,3.2310349308648854,-1.005012979213154,-0.9617769855516095,-0.4007011216782731,-0.21721494727641616,-0.12285948993381023,-0.1569748732603036,-0.12573940733925468,0.16763087363325097,0.748803514255145,1.7817949636543877,-0.14430708814175808,-0.9692197899789572,-0.9657013993078288,1.7021068686570942,0
-2.1835424942337776,3.198658915721056,-1.0134081065666398,-0.8654955758434004,0.23095693495531175,0.2646495518735946,-0.12694862064797885,-0.16593793860491002,-0.10421672639736401,-0.06463698944804969,0.22676634466666373,2.0519803488110386,-0.13290340947435106,-0.876773450798784,-1.0850331906889543,1.4342461247532905,0
-2.1529247486928687,3.1161614310688646,-1.0260469937647982,-0.9196768562085553,0.09471696195591102,0.16827665204359246,-0.1316141452377395,-0.1781562822831168,-0.10023272847135088,-0.21323130610313756,-0.1742136758731146,2.2595114358695803,-0.1347109909620979,-0.9276504460580268,-1.0144729504088634,1.7021068686570942,0
-2.100643893450241,2.9792156065461857,-1.0850115918995988,-0.9292378351600686,0.15716028291396947,0.2646495518735946,-0.16567513398718525,-0.17086344237132767,-0.1131768600405681,-0.09836347291521189,0.14094858060782234,2.0963961624470646,-0.14086343892746506,-0.9372498387125066,-1.140414854175229,1.7021068686570942,0
-2.1174878290150336,3.0228090142255684,-1.115928826663406,-1.035948920293082,-0.4502429300416917,-0.21721494727641616,-0.18864255682299677,-0.1731416268718171,-0.15359963589439582,0.10489961591535402,0.618595286166113,1.8491854911996441,-0.16937367053651112,-1.0405640065886714,-1.102761235495038,1.7021068686570942,0
-2.181148622888209,3.1921459564064087,-1.088343650738928,-0.9517747324609558,-0.4502429300416917,-0.21721494727641616,-0.17673429077245462,-0.1623166294057622,-0.11978669735681985,0.04710426661161465,0.49193436891596415,1.9147400737181706,-0.14221543650548538,-0.9586830788495555,-1.1126817298026779,1.7021068686570942,0
-2.11163761689145,3.0076121091580776,-1.0683602057757093,-1.0160009135593808,-0.314002957042291,-0.12084204744641401,-0.15548421676978644,-0.1362349491937099,-0.11866773211560738,0.4120108073073549,1.1943212123184623,1.5512129709195965,-0.1317708289772047,-1.0208380731583402,-1.0319329965862114,1.7021068686570942,0
-2.0818996675778028,2.9312802259903883,-0.8416801723473123,-0.6444359938351137,0.28772359037172884,0.36102245170359676,0.004598339137171217,-0.12704411708297558,-0.05841174000474377,0.13792251207347195,0.6880445424970142,1.8132413570196981,-0.08712175489186481,-0.6614469237795926,-0.9360037022074243,1.7021068686570942,0
-2.0344134344079117,2.8124838480912437,-0.7994025574878405,-0.851166016268532,-0.23452963945930708,-0.024469147616411856,0.04216361252642104,-0.14658949668287463,-0.1586976839308551,1.0944972390437548,2.0788345414185487,1.0934245443072028,-0.16300932167466478,-0.8639887151124912,-0.719111932628858,1.7021068686570942,0
